From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
9363;6345;sea;8533;-1;-1;-1;-1;;LittleHoof
6065;9851;sea;5250;-1;-1;-1;-1;;SpaIslands
902;5748;sea;5250;-1;-1;-1;-1;;SpaIslands2
5482;177;sea;5328;-1;-1;-1;-1;;Yukka
177;8413;sea;5328;-1;-1;-1;-1;;Yukka2
379;7166;sea;8556;-1;-1;-1;-1;;South
2554;6670;sea;5927;-1;-1;-1;-1;;Sunshine
8710;3631;sea;8273;-1;-1;-1;-1;;Minefield
9847;9580;sea;2458;-1;-1;-1;-1;;Olenia
1163;4567;sea;4666;-1;-1;-1;-1;;IslandofDeath
4057;8716;sea;8543;-1;-1;-1;-1;;IslandofDeath2
1198;4047;sea;8543;-1;-1;-1;-1;;IslandofDeath3
7423;8766;sea;8694;-1;-1;-1;-1;;Queensland
8766;1534;sea;8694;-1;-1;-1;-1;;Queensland2
7423;1534;sea;8694;-1;-1;-1;-1;;Queensland3
2519;7607;sea;5830;-1;-1;-1;-1;;Queensland4
4166;6737;sea;1256;-1;-1;-1;-1;;Bears
4166;4029;sea;1256;-1;-1;-1;-1;;Bears2
8281;4834;sea;1256;-1;-1;-1;-1;;Bears3
3699;4834;sea;1256;-1;-1;-1;-1;;Bears4
4775;4875;sea;8782;-1;-1;-1;-1;;PinPegasus
4305;6057;sea;8557;-1;-1;-1;-1;;PinPegasus2
8832;6015;sea;8482;-1;-1;-1;-1;;Griffons
9328;9089;sea;8482;-1;-1;-1;-1;;Griffons2
3301;6244;sea;2448;-1;-1;-1;-1;;Trottingham
6244;3369;sea;8865;-1;-1;-1;-1;;Trottingham2
8898;6526;sea;8865;-1;-1;-1;-1;;Trottingham3
9833;8660;sea;4213;-1;-1;-1;-1;;Dragons
3184;1194;sea;2375;-1;-1;-1;-1;;Dragons2
7463;9059;sea;8340;-1;-1;-1;-1;;Haukland
9165;9059;sea;8340;-1;-1;-1;-1;;Haukland
9165;7016;sea;2942;-1;-1;-1;-1;;Haukland
7673;98;sea;3195;-1;-1;-1;-1;;Haukland
4446;98;sea;3195;-1;-1;-1;-1;;Haukland
4305;8744;sea;8565;-1;-1;-1;-1;;PinguinsCapital
5682;4305;sea;8604;-1;-1;-1;-1;;Pinguins-Left-Island
5570;5682;sea;8604;-1;-1;-1;-1;;Pinguins
5570;6007;sea;8604;-1;-1;-1;-1;;Pinguins-Land
2115;9190;sea;8517;-1;-1;-1;-1;;Pinguins-Land2
5974;4875;sea;8782;-1;-1;-1;-1;;Pinguins-Lospegasus
8304;9604;sea;422;-1;-1;-1;-1;;GiantGriffonLake-Islands
8304;753;sea;422;-1;-1;-1;-1;;GiantGriffonLake-Shore
8101;8513;sea;5812;-1;-1;-1;-1;;New Manehattan-Aquilia
8763;7107;sea;5890;-1;-1;-1;-1;;New Manehattan-Talononte
6275;8360;sea;8262;-1;-1;-1;-1;;Northern-Island
9055;8541;sea;5838;-1;-1;-1;-1;;Southern-Islands-Mainland
9055;9045;sea;5838;-1;-1;-1;-1;;Southern-Islands-IslandSouth
8541;9045;sea;5838;-1;-1;-1;-1;;Mainland-IslandSouth
2878;5104;sea;7678;-1;-1;-1;-1;;Smolsouthisland
2878;9055;sea;7678;-1;-1;-1;-1;;Smolisland-Southernisland
1899;3080;sea;5656;-1;-1;-1;-1;;Mainland-Smolright-island
1228;3080;sea;5656;-1;-1;-1;-1;;Smolrightisland-BigSouthIsland
7601;1400;sea;5656;-1;-1;-1;-1;;Tinyisland-Mainland
1642;4576;sea;8308;-1;-1;-1;-1;;LandofHeroes-Mainland
1248;1577;sea;411;-1;-1;-1;-1;;uwotm8
1577;7062;sea;411;-1;-1;-1;-1;;uwotm8-2
1248;8160;sea;411;-1;-1;-1;-1;;ToMinotauria
5214;8468;sea;5185;-1;-1;-1;-1;;Minotauria3
8451;4335;sea;464;-1;-1;-1;-1;;Minotauria2
2816;2953;sea;8334;-1;-1;-1;-1;;Minotauria2
8610;3147;sea;843;-1;-1;-1;-1;;HeartIsland
1316;7376;sea;8334;-1;-1;-1;-1;;TriangleIsland
1064;6177;sea;6040;-1;-1;-1;-1;;Thatisland
1064;1273;sea;6040;-1;-1;-1;-1;;Thatisland
1064;5817;sea;6040;-1;-1;-1;-1;;Thatisland
9072;2100;sea;8708;-1;-1;-1;-1;;Tinyeasternisland
3014;1368;sea;8442;-1;-1;-1;-1;;Someislands-EquestrianWest
1368;1479;sea;8442;-1;-1;-1;-1;;Someislands-EquestrianWest
1479;7570;sea;8442;-1;-1;-1;-1;;Someislands-EquestrianWest
1614;7570;sea;8865;-1;-1;-1;-1;;Someislands-EquestrianWest
1428;5819;sea;1050;-1;-1;-1;-1;;ZESIslands
5819;3222;sea;6040;-1;-1;-1;-1;;ZESIslands
3222;4273;sea;6040;-1;-1;-1;-1;;ZESIslands
4273;1861;sea;6040;-1;-1;-1;-1;;ZESIslands
4273;5817;sea;6040;-1;-1;-1;-1;;ZESIslands
1861;4423;sea;6040;-1;-1;-1;-1;;ZESIslands
